dataset,pipeline,architecture,condition,fold,seed,accuracy,balanced_accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,precision_macro,recall_macro,cohen_kappa,mcc,ece,log_loss,mean_confidence,std_confidence,mean_entropy,std_entropy,train_time_s,infer_time_s
home_har_data,rolling_variance,CNN_LSTM,BN,-1,42,0.3623,0.3623,0.2975,0.2975,0.4313,0.3623,0.4313,0.3623,0.256,0.2871,0.5447,6.7093,0.9069,0.1513,0.2447,0.3326,9355.12,22.9062
home_har_data,rolling_variance,CNN_LSTM,BN+Whiten,-1,42,0.2836,0.2836,0.2584,0.2584,0.5011,0.2836,0.5011,0.2836,0.1642,0.183,0.6497,7.2558,0.9333,0.1231,0.1895,0.2847,8831.72,21.6719
home_har_data,rolling_variance,CNN_LSTM,CORAL,-1,42,0.3275,0.3275,0.2929,0.2929,0.4589,0.3275,0.4589,0.3275,0.2154,0.2298,0.5244,4.8622,0.8519,0.1748,0.3514,0.3496,10932.34,18.3906
home_har_data,rolling_variance,CNN_LSTM,FS20perclass,-1,42,0.2992,0.2992,0.2887,0.2887,0.4168,0.2992,0.4168,0.2992,0.1824,0.1911,0.5782,7.174,0.8774,0.1561,0.2991,0.3117,7880.77,17.375
home_har_data,rolling_variance,CNN_LSTM,noBN,-1,42,0.49,0.49,0.4103,0.4103,0.367,0.49,0.367,0.49,0.405,0.426,0.4695,8.1358,0.9595,0.1007,0.0981,0.2019,8174.86,35.9219
home_har_data,rolling_variance,Conv1D,BN,-1,42,0.4708,0.4708,0.3936,0.3936,0.4616,0.4708,0.4616,0.4708,0.3826,0.4068,0.357,4.7335,0.8277,0.1912,0.4315,0.4053,3388.84,12.4219
home_har_data,rolling_variance,Conv1D,BN+Whiten,-1,42,0.3763,0.3763,0.3139,0.3139,0.4019,0.3763,0.4019,0.3763,0.2724,0.2901,0.4063,4.2786,0.7826,0.2092,0.5612,0.4676,3395.53,9.0156
home_har_data,rolling_variance,Conv1D,CORAL,-1,42,0.4085,0.4085,0.3449,0.3449,0.3457,0.4085,0.3457,0.4085,0.31,0.3366,0.4115,4.386,0.82,0.1939,0.4561,0.4235,5115.53,13.5
home_har_data,rolling_variance,Conv1D,FS20perclass,-1,42,0.2871,0.2871,0.2494,0.2494,0.3222,0.2871,0.3222,0.2871,0.1683,0.1739,0.4505,5.2373,0.7376,0.1909,0.6679,0.4082,3352.73,16.1562
home_har_data,rolling_variance,Conv1D,noBN,-1,42,0.5073,0.5073,0.4331,0.4331,0.4544,0.5073,0.4544,0.5073,0.4252,0.4574,0.4246,8.2545,0.9318,0.13,0.1612,0.2604,3357.48,15.4531
home_har_data,rolling_variance,MLP,BN,-1,42,0.3619,0.3619,0.3438,0.3438,0.4294,0.3619,0.4294,0.3619,0.2555,0.2699,0.5015,5.1845,0.8634,0.169,0.3202,0.3316,3061.58,5.3594
home_har_data,rolling_variance,MLP,BN+Whiten,-1,42,0.4336,0.4336,0.3949,0.3949,0.4314,0.4336,0.4314,0.4336,0.3392,0.3519,0.4144,5.2696,0.848,0.1675,0.3609,0.3306,3801.36,7.0938
home_har_data,rolling_variance,MLP,CORAL,-1,42,0.2164,0.2164,0.2098,0.2098,0.2267,0.2164,0.2267,0.2164,0.0858,0.0914,0.169,2.4081,0.3854,0.1397,1.3615,0.3373,4629.67,3.3438
home_har_data,rolling_variance,MLP,FS20perclass,-1,42,0.2174,0.2174,0.2141,0.2141,0.2492,0.2174,0.2492,0.2174,0.087,0.0899,0.628,5.7815,0.8452,0.1681,0.3804,0.3316,3588.0,4.9531
home_har_data,rolling_variance,MLP,noBN,-1,42,0.374,0.374,0.3463,0.3463,0.4052,0.374,0.4052,0.374,0.2697,0.2806,0.4879,5.9078,0.8619,0.1801,0.3507,0.3989,5394.25,4.6406
home_har_data,rolling_variance,ResMLP,BN,-1,42,0.3911,0.3911,0.3469,0.3469,0.4284,0.3911,0.4284,0.3911,0.2896,0.3043,0.5253,5.2412,0.9162,0.1413,0.228,0.3242,2871.47,5.4219
home_har_data,rolling_variance,ResMLP,BN+Whiten,-1,42,0.4364,0.4364,0.3687,0.3687,0.3799,0.4364,0.3799,0.4364,0.3425,0.3621,0.4744,6.3891,0.9105,0.1446,0.2369,0.3221,3058.22,5.0156
home_har_data,rolling_variance,ResMLP,CORAL,-1,42,0.197,0.197,0.1622,0.1622,0.1632,0.197,0.1632,0.197,0.0631,0.0685,0.1325,2.0772,0.297,0.1596,1.6966,0.3391,4069.69,5.6094
home_har_data,rolling_variance,ResMLP,FS20perclass,-1,42,0.2777,0.2777,0.284,0.284,0.308,0.2777,0.308,0.2777,0.1573,0.1602,0.5907,5.3946,0.8684,0.1659,0.3446,0.3582,3009.77,5.125
home_har_data,rolling_variance,ResMLP,noBN,-1,42,0.4297,0.4297,0.3708,0.3708,0.4262,0.4297,0.4262,0.4297,0.3347,0.3518,0.5153,9.7079,0.945,0.1338,0.1351,0.2948,6231.33,5.3281
home_occupation_data,rolling_variance,CNN_LSTM,BN,-1,42,0.4269,0.4269,0.3308,0.3308,0.7843,0.4269,0.7843,0.4269,0.1403,0.2753,0.5203,4.9349,0.9472,0.1121,0.12,0.2121,3439.5,4.0
home_occupation_data,rolling_variance,CNN_LSTM,BN+Whiten,-1,42,0.7275,0.7275,0.6586,0.6586,0.8121,0.7275,0.8121,0.7275,0.5912,0.6508,0.2337,3.4632,0.9603,0.1041,0.0947,0.2127,3445.11,4.5156
home_occupation_data,rolling_variance,CNN_LSTM,CORAL,-1,42,0.7021,0.7021,0.6181,0.6181,0.817,0.7021,0.817,0.7021,0.5531,0.6314,0.2533,2.0104,0.9553,0.1061,0.1062,0.2092,4089.52,4.2188
home_occupation_data,rolling_variance,CNN_LSTM,FS20perclass,-1,42,0.9793,0.9793,0.9792,0.9792,0.9796,0.9793,0.9796,0.9793,0.9689,0.9692,0.0124,0.0623,0.9917,0.0471,0.0209,0.0988,3476.98,4.3438
home_occupation_data,rolling_variance,CNN_LSTM,noBN,-1,42,0.9699,0.9699,0.9699,0.9699,0.9723,0.9699,0.9723,0.9699,0.9549,0.9562,0.0245,0.1839,0.9944,0.0383,0.0138,0.0779,3439.27,4.2969
home_occupation_data,rolling_variance,Conv1D,BN,-1,42,0.6713,0.6713,0.5468,0.5468,0.7863,0.6713,0.7863,0.6713,0.507,0.5869,0.2594,1.555,0.9307,0.1356,0.1575,0.2698,1579.19,1.8906
home_occupation_data,rolling_variance,Conv1D,BN+Whiten,-1,42,0.686,0.686,0.5822,0.5822,0.801,0.686,0.801,0.686,0.5291,0.6085,0.2553,2.1479,0.9413,0.124,0.1401,0.2573,1549.09,1.7812
home_occupation_data,rolling_variance,Conv1D,CORAL,-1,42,0.6667,0.6667,0.537,0.537,0.4529,0.6667,0.4529,0.6667,0.5,0.5828,0.2613,1.4988,0.9279,0.1352,0.17,0.2702,1797.39,2.0312
home_occupation_data,rolling_variance,Conv1D,FS20perclass,-1,42,0.9833,0.9833,0.9832,0.9832,0.9837,0.9833,0.9837,0.9833,0.9749,0.9752,0.0098,0.0566,0.9892,0.0495,0.0314,0.1115,1395.83,2.4219
home_occupation_data,rolling_variance,Conv1D,noBN,-1,42,0.9145,0.9145,0.9125,0.9125,0.9291,0.9145,0.9291,0.9145,0.8717,0.8805,0.0568,0.2828,0.9699,0.088,0.0768,0.1896,1631.98,1.9688
