dataset,pipeline,model,fold,seed,accuracy,balanced_accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,precision_macro,recall_macro,cohen_kappa,mcc,ece,log_loss,mean_confidence,std_confidence,mean_entropy,std_entropy,train_cpu_s,train_wall_s,infer_wall_s,train_peak_mb,model_size_mb,train_samples,test_samples,n_features
home_har_data,amplitude,RandomForest,-1,42,0.1031,0.1031,0.087,0.087,0.0802,0.1031,0.0802,0.1031,-0.0464,-0.0494,0.4718,10.3524,0.5749,0.1957,0.9992,0.3874,266.984,25.841,0.9491,405.6,22.89,6692,6986,15600
home_har_data,amplitude,XGBoost,-1,42,0.218,0.218,0.1955,0.1955,0.1831,0.218,0.1831,0.218,0.0877,0.0897,0.4136,3.1944,0.6316,0.2022,0.9501,0.3797,3317.969,335.923,0.4536,0.8,0.76,6692,6986,15600
home_har_data,amplitude_phase,RandomForest,-1,42,0.1137,0.1137,0.0911,0.0911,0.0799,0.1137,0.0799,0.1137,-0.0341,-0.0361,0.4516,9.8763,0.5652,0.1959,1.0341,0.3836,413.875,44.72,7.8469,806.6,22.3,6692,6986,31200
home_har_data,amplitude_phase,XGBoost,-1,42,0.2455,0.2455,0.2168,0.2168,0.2033,0.2455,0.2033,0.2455,0.1197,0.1227,0.3672,2.9835,0.6119,0.1878,1.0045,0.3518,6659.594,692.511,1.9566,1.6,0.76,6692,6986,31200
home_har_data,amplitude_sanitized,RandomForest,-1,42,0.1174,0.1174,0.0964,0.0964,0.0868,0.1174,0.0868,0.1174,-0.0297,-0.0317,0.4444,9.9637,0.5618,0.1907,1.0422,0.3689,491.938,87.077,17.6009,806.6,22.32,6692,6986,31200
home_har_data,amplitude_sanitized,XGBoost,-1,42,0.2466,0.2466,0.2197,0.2197,0.2027,0.2466,0.2027,0.2466,0.1211,0.1236,0.3636,2.9919,0.5982,0.1867,1.0339,0.3545,6837.344,1362.206,4.2353,1.6,0.77,6692,6986,31200
home_har_data,rolling_variance,RandomForest,-1,42,0.4525,0.4525,0.3802,0.3802,0.3451,0.4525,0.3451,0.4525,0.3612,0.3786,0.1939,4.458,0.4751,0.1739,1.2984,0.3584,381.688,54.993,7.6195,405.5,35.89,6692,6986,15600
home_har_data,rolling_variance,XGBoost,-1,42,0.4397,0.4397,0.3733,0.3733,0.4031,0.4397,0.4031,0.4397,0.3464,0.3653,0.1837,2.4687,0.6173,0.2171,0.9838,0.4625,3618.531,657.853,1.1939,0.8,0.78,6692,6986,15600
home_occupation_data,amplitude,RandomForest,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0046,0.0048,0.9954,0.0166,0.0198,0.0561,37.438,4.82,0.5053,183.4,0.55,2994,1497,15600
home_occupation_data,amplitude,XGBoost,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007,0.0007,0.9993,0.0008,0.006,0.0047,945.984,98.79,0.0807,0.8,0.27,2994,1497,15600
home_occupation_data,amplitude_phase,RandomForest,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0061,0.0063,0.9939,0.0169,0.0281,0.0587,66.359,9.311,1.512,364.4,0.58,2994,1497,31200
home_occupation_data,amplitude_phase,XGBoost,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007,0.0007,0.9993,0.0007,0.006,0.0045,1758.469,235.384,0.2147,1.6,0.27,2994,1497,31200
home_occupation_data,amplitude_sanitized,RandomForest,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0054,0.0056,0.9946,0.0164,0.0245,0.057,110.25,27.194,6.7617,364.4,0.57,2994,1497,31200
home_occupation_data,amplitude_sanitized,XGBoost,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009,0.0009,0.9991,0.0013,0.0074,0.0069,1688.625,488.736,1.0931,1.6,0.27,2994,1497,31200
home_occupation_data,rolling_variance,RandomForest,-1,42,0.9739,0.9739,0.974,0.974,0.9744,0.9739,0.9744,0.9739,0.9609,0.9611,0.1429,0.2161,0.831,0.1506,0.4374,0.2977,111.859,16.831,0.8009,183.4,3.59,2994,1497,15600
home_occupation_data,rolling_variance,XGBoost,-1,42,0.9806,0.9806,0.9807,0.9807,0.9808,0.9806,0.9808,0.9806,0.9709,0.971,0.0234,0.0663,0.9579,0.0836,0.1287,0.1789,927.844,226.637,0.1478,0.8,0.33,2994,1497,15600
office_har_data,amplitude,RandomForest,-1,42,0.8615,0.8603,0.8544,0.8352,0.9136,0.8615,0.8838,0.8603,0.8147,0.8329,0.0837,0.6369,0.8862,0.1487,0.2846,0.2919,12.25,2.857,0.2538,68.8,0.79,1088,397,15600
